no,userstory
۳۲,"به عنوان یک دانش‌آموز من می‌خواهم جلسات آموزش آنلاین ذخیره شوند تا بتوانم هر زمان که لازم باشد، دوباره به جلسات گذشته مراجعه کرده و اطلاعات را مرور کنم. "
۳۳,"به عنوان یک دانشجو من می‌خواهم پیشرفت خود در هر دوره آموزشی را مشاهده کنم  تا بتوانم بدون گم کردن مسیر، در هر زمان از دوره به راحتی ادامه دهم. "
۳۴,"به عنوان یک کاربر من می‌خواهم خلاصه‌ای از فعالیت‌های قبلی‌ام در نرم‌افزار نمایش داده شود تا بتوانم به راحتی به تاریخچه کارهای خود دسترسی پیدا کنم و در صورت نیاز، تغییرات یا تصمیمات قبلی را مرور و پیگیری کنم."
۳۵,"به عنوان یک کاربر من می‌خواهم پس از به‌روزرسانی نرم‌افزار، ویژگی‌های جدید به همراه توضیحات و راهنما نمایش داده شوند تا بتوانم ویژگی‌های جدید را سریعاً یاد بگیرم و در کارم از آن‌ها استفاده کنم. "
۳۶,"به عنوان یک کاربر جدید من می‌خواهم در حین استفاده از نرم‌افزار نکات آموزشی کوچک به من نمایش داده شود تا بتوانم بدون نیاز به مطالعه منابع جداگانه، به‌طور خودکار یاد بگیرم. "
۳۷,"به عنوان یک کاربر آموزشی من می‌خواهم نرم‌افزار مسیر یادگیری من را ذخیره کند تا بتوانم پیشرفت خود را پیگیری کنم، به راحتی به مراحل قبلی برگردم و از جایی که متوقف شده‌ام ادامه دهم."
۳۸,به عنوان یک دانشجو من می‌خواهم پیشرفت خود را در هر دوره آموزشی به صورت گرافیکی ببینم  تا بتوانم متوجه شوم که چقدر از دوره را یاد گرفته‌ام و کجا باید بیشتر تمرکز کنم. 
۳۹,"به عنوان یک کاربر من می‌خواهم به راحتی و سریعاً به منابع آموزشی درون نرم‌افزار دسترسی داشته باشم تا بتوانم هر زمان که به کمک نیاز دارم، فوراً راهنمایی‌هایی برای یادگیری بیشتر پیدا کنم. "
۴۰,"به عنوان یک مدیر سیستم من می‌خواهم تغییرات ایجاد شده در سیستم‌های یادگیری را به راحتی دنبال کنم تا بتوانم از صحت و سلامت سیستم مطمئن شوم، مشکلات احتمالی را شناسایی کنم و به سرعت اقدامات اصلاحی لازم را انجام دهم."
۴۱,"به عنوان یک کاربر که مدتی از سیستم استفاده نکرده است من می‌خواهم هنگام ورود مجدد به سیستم، نکات آموزشی یا راهنماها به من نمایش داده شود تا بتوانم سریعاً به یاد بیاورم چطور از ویژگی‌ها و امکانات سیستم استفاده کنم. "
۴۲,به عنوان یک کاربر من می‌خواهم سیستم به‌طور خودکار تجربیات قبلی من را بررسی کرده و آموزش‌های سفارشی برای من فراهم کند تا بتوانم سریع‌تر مهارت‌های جدید را یاد بگیرم. 
۴۳,به عنوان یک مشتری فروشگاه آنلاین من می‌خواهم بتوانم به راحتی و سریع محصولاتی که به دنبال آن‌ها هستم را پیدا کنم تا بتوانم خرید خود را بدون هیچ دردسری انجام دهم و وقت خود را صرف جستجوی طولانی نکنم. 
۴۴,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را بر اساس ویژگی‌های خاص مانند سایز یا رنگ جستجو کنم تا بتوانم سریع‌تر محصول مورد نظر خود را پیدا کنم. 
۴۵,به عنوان یک مشتری من می‌خواهم آدرس تحویل جدیدی به سرعت اضافه کنم تا بتوانم سفارشات خود را به مکان جدید دریافت کنم. 
۴۶,"به عنوان یک مشتری من می‌خواهم بتوانم محصولات را بر اساس ویژگی‌هایی مانند قیمت، برند و رتبه‌بندی فیلتر کنم تا بتوانم سریع‌تر محصول مورد نظر خود را پیدا کنم. "
۴۷,به عنوان یک مشتری من می‌خواهم بتوانم وضعیت تحویل سفارش خود را پیگیری کنم تا بتوانم زمان دقیق تحویل را بدانم. 
۴۸,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را برای خریدهای آینده ذخیره کنم تا بتوانم بعداً به راحتی آن‌ها را خریداری کنم. 
۴۹,به عنوان یک کاربر من می‌خواهم امکان اشتراک در خبرنامه وب‌سایت را داشته باشم تا بتوانم از آخرین تخفیف‌ها و پیشنهادات آگاه شوم. 
۵۰,به عنوان یک کاربر غیر بومی من می‌خواهم زبان سایت را تغییر دهم تا بتوانم محتوای سایت را به زبان خودم مطالعه کنم. 
۵۱,به عنوان یک کاربر من می‌خواهم بتوانم با استفاده از حساب‌های اجتماعی وارد سایت شوم تا بتوانم فرآیند ورود را سریع‌تر انجام دهم. 
۵۲,به عنوان یک مشتری من می‌خواهم بتوانم کد تخفیف را وارد کنم تا بتوانم از تخفیف در خرید خود بهره‌مند شوم. 
۵۳,به عنوان یک مشتری من می‌خواهم بتوانم جزئیات کامل محصول را مشاهده کنم تا بتوانم تصمیم بگیرم که آیا آن محصول مناسب من است یا نه. 
۵۴,به عنوان یک مشتری بین‌المللی من می‌خواهم بتوانم ارز قیمت‌ها را تغییر دهم تا بتوانم قیمت‌ها را به ارز مورد نظر خود مشاهده کنم. 
۵۵,به عنوان یک مشتری من می‌خواهم بتوانم پس از خرید محصول نظر خود را به راحتی ارسال کنم تا بتوانم تجربیاتم را با دیگران به اشتراک بگذارم و به بهبود خدمات کمک کنم. 
۵۶,به عنوان یک مشتری من می‌خواهم از گزینه‌های جستجوی پیشرفته برای فیلتر کردن نتایج استفاده کنم تا بتوانم دقیق‌تر محصولات مورد نظر خود را پیدا کنم. 
۵۷,به عنوان یک مشتری من می‌خواهم سایز محصول را قبل از خرید به سرعت و بدون پیچیدگی انتخاب کنم تا بتوانم از خرید اشتباه سایز جلوگیری کنم
۵۸,به عنوان یک مشتری من می‌خواهم بتوانم به سرعت راهنمای استفاده از محصول را مطالعه کنم تا بتوانم از محصول به درستی استفاده کنم. 
۵۹,به عنوان یک مشتری من می‌خواهم بتوانم  راهنمای استفاده از محصول را مشاهده کنم تا بتوانم از محصول به درستی استفاده کنم. 
۶۰,به عنوان یک مشتری من می‌خواهم اعلان‌هایی درباره وضعیت سفارشات دریافت کنم تا بتوانم از وضعیت سفارش خود آگاه شوم. 
۶۱,"به عنوان یک مشتری من می‌خواهم پس از خرید، امکان ارزیابی و رتبه‌بندی محصول را داشته باشم تا بتوانم تجربیات خود را با دیگران به اشتراک بگذارم. "
۶۲,"به عنوان یک کاربر من می‌خواهم نتایج جستجوی خود را بر اساس قیمت، تاریخ اضافه شدن یا امتیاز مرتب کنم تا بتوانم محصول مناسب‌تری پیدا کنم. "
۶۳,ه عنوان یک مشتری من می‌خواهم محصولات را بر اساس دسته‌بندی‌ها مشاهده کنم تا بتوانم محصولات مشابه را سریع‌تر پیدا کنم.
۶۴,"به عنوان یک مشتری من می‌خواهم هنگام خرید، کد تخفیف خود را وارد کنم تا بتوانم خرید خود را با تخفیف ویژه انجام دهم. "
۶۵,به عنوان یک مشتری من می‌خواهم بتوانم موجودی سبد خرید خود را در هر زمان مشاهده کنم تا بتوانم بررسی کنم که آیا تمام محصولات مورد نظر من در سبد خرید هستند. 
۶۶,به عنوان یک کاربر من می‌خواهم تنظیمات حریم خصوصی حساب کاربری خود را مدیریت کنم تا بتوانم انتخاب کنم که چه اطلاعاتی با دیگران به اشتراک گذاشته شود. 
۶۷,به عنوان یک مشتری من می‌خواهم فاکتور خرید خود را مشاهده کنم تا بتوانم جزئیات تراکنش و خریدهای انجام شده را بررسی کنم. 
۶۸,به عنوان یک مشتری من می‌خواهم بتوانم تجربه خرید خود را با دوستانم به اشتراک بگذارم تا بتوانم آن‌ها را از کیفیت محصولات و خدمات آگاه کنم. 
۶۹,به عنوان یک مشتری من می‌خواهم نظرات خود را برای محصولاتی که خریده‌ام بنویسم تا بتوانم تجربه خود را با دیگر خریداران به اشتراک بگذارم. 
۷۰,به عنوان یک مشتری من می‌خواهم روش ارسال مورد نظر خود را انتخاب کنم تا بتوانم کالا را در زمان دلخواه دریافت کنم. 
۷۱,به عنوان یک مشتری من می‌خواهم بتوانم شرایط و قوانین سایت را به سرعت و بدون پیچیدگی مشاهده کنم تا بتوانم به راحتی از حقوق و وظایف خود در هنگام خرید آگاه شوم
۷۲,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را به فهرست علاقه‌مندی‌ها اضافه کنم تا بتوانم در آینده به راحتی به آن‌ها دسترسی داشته باشم. 
۷۳,به عنوان یک مشتری من می‌خواهم هشدار دریافت کنم زمانی که قیمت محصولی کاهش یابد تا بتوانم آن را در زمانی که تخفیف دارد خریداری کنم. 
۷۴,به عنوان یک مشتری من می‌خواهم محصولات را بر اساس دسته‌بندی‌های مختلف جستجو کنم تا بتوانم محصولاتی که به نیازم نزدیک‌تر هستند را سریع‌تر پیدا کنم. 
۷۵,به عنوان یک کاربر من می‌خواهم از آیکون‌هایی استفاده کنم که مفهوم آن‌ها واضح و قابل فهم باشد تا بتوانم به سرعت از ابزارهای مختلف نرم‌افزار بهره‌برداری کنم. 
۷۶,"به عنوان یک کاربر من می‌خواهم با وارد کردن کلمات کلیدی ساده، بتوانم سریعاً به بخش‌های مختلف سیستم دسترسی پیدا کنم تا بتوانم بدون اتلاف وقت، به اطلاعات مورد نظر دسترسی پیدا کنم. "
۷۷,به عنوان یک کاربر جدید من می‌خواهم پیش‌نمایش عملکرد ویژگی‌های مختلف قبل از اعمال آن‌ها بر روی داده‌ها داشته باشم تا بتوانم از نتیجه نهایی اطمینان حاصل کنم بدون این که نیازی به آزمایش‌های متعدد داشته باشم. 
۷۸,به عنوان یک کاربر تازه‌کار من می‌خواهم رابط کاربری به زبان ساده و بدون اصطلاحات پیچیده باشد تا بتوانم به راحتی تمامی عملیات‌ها را انجام دهم و دچار سردرگمی نشوم. 
۷۹,"به عنوان یک کاربر من می‌خواهم به راحتی از قابلیت جستجو و فیلتر استفاده کنم تا بتوانم نتایج دلخواهم را سریعاً پیدا کنم، بدون اینکه نیاز به یادگیری پیچیده‌ای داشته باشم. "
۸۰,"به عنوان یک کاربر جدید من می‌خواهم راهنمای درون‌برنامه‌ای به صورت پویا و در لحظه برای من نمایش داده شود تا بتوانم بدون نیاز به خروج از نرم‌افزار، با روش‌های مختلف استفاده از سیستم آشنا شوم. "
۸۱,"به عنوان یک کاربر من می‌خواهم بتوانم تغییرات خود را به سادگی لغو یا بازگشت دهم تا بتوانم بدون نگرانی از اشتباهات، فرآیندهای سیستم را آزمایش و یاد بگیرم. "
۸۲,"به عنوان یک کاربر من می‌خواهم قادر باشم با استفاده از رابط کاربری و گزینه‌های ساده، نحوه انجام کارهای اصلی را خودم یاد بگیرم تا بتوانم بدون جستجو، به سرعت ویژگی‌های جدید را یاد بگیرم. "
۸۳,"به عنوان یک کاربر تا بتوانم بدون نیاز به تنظیمات پیچیده، به‌سرعت از آن استفاده کنم و کارها را انجام دهم. تا بتوانم به‌سرعت مشکل خود را حل کنم و نیازی به جستجوی اطلاعات بیرونی نداشته باشم. "
۸۴,به عنوان یک کاربر من می‌خواهم پیام‌های هشدار و راهنما به زبان ساده و بدون اصطلاحات پیچیده باشند تا بتوانم سریعاً مفاهیم را درک کنم و اقدامات لازم را انجام دهم. 
۸۵,"به عنوان یک کاربر باتجربه من می‌خواهم ابزارهای مورد نیاز خود را به سرعت از طریق میانبرهای صفحه‌کلید یا منوهای کشویی دسترسی پیدا کنم تا بتوانم وظایف خود را سریع‌تر و با کارایی بیشتر انجام دهم، بدون نیاز به پیمایش طولانی در منوها یا انجام اقدامات اضافی انجام دهم"
۸۶,به عنوان یک کاربر  من می‌خواهم فرم‌ها به صورت خودکار با اطلاعات قبلی من پر شوند تا بتوانم زمان کمتری را صرف تکمیل فرم‌ها کنم و فرآیند را سریع‌تر انجام دهم.
۸۷,"به عنوان یک کاربر من می‌خواهم قابلیت جستجو در سیستم سریع و دقیق باشد تا بتوانم بدون اتلاف وقت، نتایج جستجوی مرتبط را دریافت کنم."
۸۸,به عنوان یک کاربر من می‌خواهم سیستم وضعیت پیشرفت من را به صورت خودکار ذخیره کند تا بتوانم بعداً به راحتی به همان نقطه ادامه کار برگردم و زمان کمتری برای شروع مجدد صرف کنم.
۸۹,به عنوان یک کاربر باتجربه من می‌خواهم برای انجام عملیات‌های مختلف از میانبرهای صفحه‌کلید استفاده کنم تا بتوانم با سرعت بیشتری کارهایم را انجام دهم و زمان کمتری صرف انجام وظایف کنم. 
۹۰,به عنوان یک کاربر من می‌خواهم بتوانم چندین عملیات را به صورت همزمان انجام دهم تا بتوانم زمان خود را برای انجام کارهای مختلف به طور همزمان مدیریت کنم و کارایی بیشتری داشته باشم. 
۹۱,به عنوان یک کاربر من می‌خواهم فیلترهای سریع و قابل تنظیم برای جستجوی داده‌ها داشته باشم تا بتوانم به سرعت اطلاعات مورد نیاز خود را پیدا کنم و از زمان بیشتری برای تجزیه و تحلیل داده‌ها بهره‌برداری کنم. 
۹۲,"به عنوان یک کاربر من می‌خواهم داده‌ها به صورت خودکار دسته‌بندی و مرتب‌سازی شوند تا بتوانم بدون نیاز به تلاش زیاد، به سرعت به داده‌های مورد نظر خود دسترسی پیدا کنم. "
۹۳,"به عنوان یک کاربر من می‌خواهم گزینه‌های پیش‌فرض برای وظایف رایج به صورت هوشمندانه انتخاب شوند تا بتوانم بدون نیاز به تنظیمات اضافی، کارها را به سرعت انجام دهم. "
۹۴,به عنوان یک کاربر من می‌خواهم بتوانم ایمیل‌های گروهی را با یک کلیک ارسال کنم تا بتوانم از اتلاف وقت در ارسال ایمیل‌های تکراری جلوگیری کنم و کارایی خود را افزایش دهم. 
۹۵,به عنوان یک کاربر من می‌خواهم از قالب‌های از پیش طراحی‌شده برای اسناد یا گزارشات استفاده کنم تا بتوانم زمان کمتری را برای طراحی و تنظیم اسناد صرف کنم و نتیجه نهایی را سریع‌تر تحویل دهم. 
۹۶,"به عنوان یک کاربر من می‌خواهم صفحات وب یا نرم‌افزار به سرعت بارگذاری شوند تا بتوانم بدون وقفه یا تأخیر در عملکرد، به کار خود ادامه دهم. "
۹۷,به عنوان یک کاربر باتجربه من می‌خواهم بتوانم از میانبرهای صفحه‌کلید برای دسترسی به ابزارها و گزینه‌های مختلف استفاده کنم تا بتوانم سرعت انجام کارهای روزمره خود را افزایش دهم. 
۹۸,"به عنوان یک کاربر من می‌خواهم امکان فیلتر نتایج جستجو بر اساس ویژگی‌های مختلف (مانند تاریخ، قیمت یا نوع) وجود داشته باشد تا بتوانم سریع‌تر و با دقت بیشتر اطلاعات مورد نظر خود را پیدا کنم. "
۹۹,به عنوان یک کاربر من می‌خواهم به راحتی بتوانم تغییرات اخیر خود را مشاهده کرده و ویرایش‌های قبلی را بازگردانی کنم تا بتوانم از انجام تغییرات اشتباه جلوگیری کنم و زمان خود را صرف اصلاح آن‌ها نکنم. 
۱۰۰,به عنوان یک کاربر من می‌خواهم آخرین فعالیت‌های خود را سریعاً در صفحه اصلی مشاهده کنم تا بتوانم به راحتی به آن‌ها بازگردم و ادامه دهم. 
۱۰۱,به عنوان یک کاربر من می‌خواهم بتوانم چندین وظیفه یا عمل را به صورت همزمان انجام دهم تا بتوانم کارهای خود را سریع‌تر به پایان برسانم و زمان خود را بهینه کنم. 
۱۰۲,به عنوان یک کاربر من می‌خواهم داده‌های وارد شده به طور خودکار ذخیره شوند تا بتوانم از از دست دادن اطلاعات به دلیل قطع ارتباط یا خطا جلوگیری کنم. 
۱۰۳,به عنوان یک کاربر من می‌خواهم با یک کلیک یا میانبر به صفحه قبلی برگردم تا بتوانم از جستجوهای مجدد و وقت‌گیر جلوگیری کنم. 
۱۰۴,"به عنوان یک کاربر من می‌خواهم پس از وارد کردن داده‌ها، سیستم به طور خودکار صحت اطلاعات را بررسی کند تا بتوانم از وارد کردن اطلاعات اشتباه جلوگیری کرده و سرعت انجام کارها را افزایش دهم. "
۱۰۵,"به عنوان یک کاربر من می‌خواهم سیستم داده‌ها را به صورت خودکار در دسته‌های مناسب قرار دهد تا بتوانم به راحتی و با سرعت، داده‌ها را سازماندهی کنم و دسترسی سریع‌تری به آن‌ها داشته باشم. "
۱۰۶,"به عنوان یک کاربر من می‌خواهم تنظیمات مورد نیاز خود را از طریق منوی سریع یا میانبر به راحتی پیدا کنم تا بتوانم بدون نیاز به جستجو یا پیمایش طولانی، به سرعت تنظیمات دلخواهم را تغییر دهم. "
۱۰۷,به عنوان یک کاربر من می‌خواهم نتایج جستجو در کمترین زمان ممکن بارگذاری شوند تا بتوانم به سرعت اطلاعات مورد نیاز خود را پیدا کنم و از اتلاف وقت جلوگیری کنم. 
۱۰۸,"به عنوان یک کاربر من می‌خواهم سیستم به صورت خودکار اطلاعات من را پر کند (مانند آدرس، ایمیل، شماره تلفن) تا بتوانم فرآیند ورود اطلاعات را سریع‌تر انجام دهم و اشتباهات را کاهش دهم. "
۱۰۹,"به عنوان یک کاربر من می‌خواهم سیستم به طور خودکار داده‌ها را ذخیره کند تا بتوانم در صورت قطع اتصال یا خروج از سیستم، کار خود را از همان نقطه ادامه دهم. "
۱۱۰,"به عنوان یک کاربر من می‌خواهم تاریخچه فعالیت‌هایم را سریعاً مشاهده کنم تا بتوانم بدون جستجوهای اضافی، به راحتی به اقدامات گذشته خود دسترسی پیدا کنم. "
۱۱۱,به عنوان یک کاربر من می‌خواهم نتایج جستجو یا محصولات به طور خودکار بر اساس اولویت‌ها یا نیازهای من مرتب شوند تا بتوانم سریع‌تر به نتیجه دلخواه خود دست یابم. 
۱۱۲,به عنوان یک کاربر من می‌خواهم بتوانم زبان یا منطقه جغرافیایی نرم‌افزار را به سرعت تغییر دهم تا بتوانم تجربه استفاده خود را به‌طور شخصی‌سازی شده و سریع تنظیم کنم. 
۱۱۳,به عنوان یک کاربر من می‌خواهم بتوانم برای صفحات پر استفاده خود میانبرهایی ایجاد کنم تا بتوانم با سرعت بیشتری به بخش‌های مهم دسترسی پیدا کنم. 
۱۱۴,"به عنوان یک کاربر من می‌خواهم هنگام پر کردن فرم‌ها، سیستم به طور هوشمندانه پیشنهاداتی برای تکمیل اطلاعات وارد کند تا بتوانم سرعت ورود داده‌ها را افزایش دهم. "
۱۱۵,به عنوان یک مدیر پروژه من می‌خواهم بتوانم وظایف را به راحتی اولویت‌بندی و مدیریت کنم تا بتوانم پروژه‌ها را سریع‌تر پیش ببرم و نیاز به انجام تغییرات را به حداقل برسانم. 
۱۱۶,"به عنوان یک مدیر وب‌سایت من می‌خواهم بتوانم به راحتی محتوا را به صورت دسته‌بندی شده و با استفاده از ابزارهای ویرایشی پیشرفته مدیریت کنم تا بتوانم بدون اتلاف وقت و با کارایی بالا، محتوای جدید را اضافه یا ویرایش کنم. "
۱۱۷,به عنوان یک تحلیلگر داده من می‌خواهم گزارش‌های هفتگی به صورت خودکار از سیستم استخراج شده و به من ارسال شوند تا بتوانم زمان کمتری را صرف تهیه گزارش‌ها کنم و به سرعت به تحلیل داده‌ها بپردازم. 
۱۱۸,به عنوان یک مشتری فروشگاه آنلاین من می‌خواهم تاریخچه خریدهای قبلی خود را در چند ثانیه مشاهده کنم تا بتوانم خریدهای مشابه را سریع‌تر پیدا کنم و دوباره سفارش دهم. 
۱۱۹,به عنوان یک مدیر پروژه من می‌خواهم وضعیت تمامی پروژه‌ها و وظایف را در یک داشبورد ساده و یکپارچه مشاهده کنم تا بتوانم به سرعت پیشرفت پروژه‌ها را بررسی کرده و اقدامات لازم را انجام دهم. 
۱۲۰,"به عنوان یک کاربر بانک آنلاین من می‌خواهم صورتحساب‌های بانکی خود را در عرض چند ثانیه مشاهده و پرداخت کنم تا بتوانم بدون صرف وقت اضافی، به راحتی امور مالی خود را مدیریت کنم. "
۱۲۱,"به عنوان یک مسئول فروش من می‌خواهم به راحتی و با استفاده از قابلیت تکمیل خودکار، اطلاعات تماس مشتریان را ثبت کنم تا بتوانم روند ثبت‌نام و ارتباط با مشتریان را سریع‌تر و دقیق‌تر انجام دهم. "
۱۲۲,به عنوان یک مدیر بازاریابی من می‌خواهم گزارش‌های تحلیلی مربوط به کمپین‌های بازاریابی را به راحتی و با چند کلیک دریافت کنم تا بتوانم نتایج کمپین‌ها را سریعاً ارزیابی کرده و تصمیمات بهتری بگیرم. 
