no,userstory,role,capability,objective,informal_normalized_userstory,normalized_dataframe,tokenized_userstory,stopwords_userstory,lemmatized_userstory,string_lemmatized_userstory
30,به عنوان یک کاربر جدید من می‌خواهم پیش‌نمایش عملکرد ویژگی‌های مختلف قبل از اعمال آن‌ها بر روی داده‌ها داشته باشم تا بتوانم از نتیجه نهایی اطمینان حاصل کنم بدون این که نیازی به آزمایش‌های متعدد داشته باشم. ,کاربر جدید,پیش‌نمایش عملکرد ویژگی‌های مختلف قبل از اعمال آن‌ها بر روی داده‌ها داشته باشم,از نتیجه نهایی اطمینان حاصل کنم بدون این که نیازی به آزمایش‌های متعدد داشته باشم.,به عنوان یک کاربر جدید من می‌خواهم پیش‌نمایش عملکرد ویژگی‌های مختلف قبل از اعمال آن‌ها بر روی داده‌ها داشته_باشم تا بتوانم از نتیجه نهایی اطمینان حاصل کنم بدون این که نیازی به آزمایش‌های متعدد داشته_باشم .,به عنوان یک کاربر جدید من می‌خواهم پیش‌نمایش عملکرد ویژگی‌های مختلف قبل از اعمال آن‌ها بر روی داده‌ها داشته_باشم تا بتوانم از نتیجه نهایی اطمینان حاصل کنم بدون این‌که نیازی به آزمایش‌های متعدد داشته_باشم.,"['به', 'عنوان', 'یک', 'کاربر', 'جدید', 'من', 'می\u200cخواهم', 'پیش\u200cنمایش', 'عملکرد', 'ویژگی\u200cهای', 'مختلف', 'قبل', 'از', 'اعمال', 'آن\u200cها', 'بر', 'روی', 'داده\u200cها', 'داشته_باشم', 'تا', 'بتوانم', 'از', 'نتیجه', 'نهایی', 'اطمینان', 'حاصل', 'کنم', 'بدون', 'این\u200cکه', 'نیازی', 'به', 'آزمایش\u200cهای', 'متعدد', 'داشته_باشم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'پیش\u200cنمایش', 'عملکرد', 'ویژگی\u200cهای', 'مختلف', 'اعمال', 'آن\u200cها', 'داده\u200cها', 'داشته_باشم', 'بتوانم', 'نتیجه', 'نهایی', 'اطمینان', 'حاصل', 'این\u200cکه', 'نیازی', 'آزمایش\u200cهای', 'متعدد', 'داشته_باشم', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'پیش\u200cنمایش', 'عملکرد', 'ویژگی', 'مختلف', 'اعمال', 'آن', 'داده', 'داشت#دار', 'توانست#توان', 'نتیجه', 'نهایی', 'اطمینان', 'حاصل', 'این\u200cکه', 'نیازیدن#نیاز', 'آزمایش', 'متعدد', 'داشت#دار', '.']",عنوان کاربر خواست#خواه پیش‌نمایش عملکرد ویژگی مختلف اعمال آن داده داشت#دار توانست#توان نتیجه نهایی اطمینان حاصل این‌که نیازیدن#نیاز آزمایش متعدد داشت#دار .
31,به عنوان یک کاربر من می‌خواهم به راحتی از قابلیت جستجو و فیلتر استفاده کنم تا بتوانم نتایج دلخواهم را سریعاً پیدا کنم، بدون اینکه نیاز به یادگیری پیچیده‌ای داشته باشم. ,کاربر,به راحتی از قابلیت جستجو و فیلتر استفاده کنم,نتایج دلخواهم را سریعاً پیدا کنم، بدون اینکه نیاز به یادگیری پیچیده‌ای داشته باشم.,به عنوان یک کاربر من می‌خواهم به راحتی از قابلیت جستجو و فیلتر استفاده کنم تا بتوانم نتایج دلخواهم را سریع‌ها پیدا کنم ، بدون اینکه نیاز به یادگیری پیچیده‌ای داشته_باشم .,به عنوان یک کاربر من می‌خواهم به راحتی از قابلیت جستجو و فیلتر استفاده کنم تا بتوانم نتایج دلخواهم را سریع‌ها پیدا کنم، بدون اینکه نیاز به یادگیری پیچیده‌ای داشته_باشم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'به', 'راحتی', 'از', 'قابلیت', 'جستجو', 'و', 'فیلتر', 'استفاده', 'کنم', 'تا', 'بتوانم', 'نتایج', 'دلخواهم', 'را', 'سریع\u200cها', 'پیدا', 'کنم', '،', 'بدون', 'اینکه', 'نیاز', 'به', 'یادگیری', 'پیچیده\u200cای', 'داشته_باشم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'راحتی', 'قابلیت', 'جستجو', 'فیلتر', 'استفاده', 'بتوانم', 'نتایج', 'دلخواهم', 'سریع\u200cها', '،', 'یادگیری', 'پیچیده\u200cای', 'داشته_باشم', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'راحتی', 'قابلیت', 'جستجو', 'فیلتر', 'استفاده', 'توانست#توان', 'نتایج', 'دلخواه', 'سریع', '،', 'یادگیری', 'پیچید#پیچ', 'داشت#دار', '.']",عنوان کاربر خواست#خواه راحتی قابلیت جستجو فیلتر استفاده توانست#توان نتایج دلخواه سریع ، یادگیری پیچید#پیچ داشت#دار .
32,به عنوان یک کاربر جدید من می‌خواهم راهنمای درون‌برنامه‌ای به صورت پویا و در لحظه برای من نمایش داده شود تا بتوانم بدون نیاز به خروج از نرم‌افزار، با روش‌های مختلف استفاده از سیستم آشنا شوم. ,کاربر جدید,راهنمای درون‌برنامه‌ای به صورت پویا و در لحظه برای من نمایش داده شود,بدون نیاز به خروج از نرم‌افزار، با روش‌های مختلف استفاده از سیستم آشنا شوم.,به عنوان یک کاربر جدید من می‌خواهم راهنمای درون‌برنامه‌ای به صورت پویا و در لحظه برای من نمایش داده_شود تا بتوانم بدون نیاز به خروج از نرم‌افزار ، با روش‌های مختلف استفاده از سیستم آشنا شوم .,به عنوان یک کاربر جدید من می‌خواهم راهنمای درون‌برنامه‌ای به صورت پویا و در لحظه برای من نمایش داده_شود تا بتوانم بدون نیاز به خروج از نرم‌افزار، با روش‌های مختلف استفاده از سیستم آشنا شوم.,"['به', 'عنوان', 'یک', 'کاربر', 'جدید', 'من', 'می\u200cخواهم', 'راهنمای', 'درون\u200cبرنامه\u200cای', 'به', 'صورت', 'پویا', 'و', 'در', 'لحظه', 'برای', 'من', 'نمایش', 'داده_شود', 'تا', 'بتوانم', 'بدون', 'نیاز', 'به', 'خروج', 'از', 'نرم\u200cافزار', '،', 'با', 'روش\u200cهای', 'مختلف', 'استفاده', 'از', 'سیستم', 'آشنا', 'شوم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'راهنمای', 'درون\u200cبرنامه\u200cای', 'صورت', 'پویا', 'لحظه', 'نمایش', 'داده_شود', 'بتوانم', 'خروج', 'نرم\u200cافزار', '،', 'روش\u200cهای', 'مختلف', 'استفاده', 'سیستم', 'آشنا', 'شوم', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'راهنمای', 'درون\u200cبرنامه\u200cای', 'صورت', 'پویا', 'لحظه', 'نمایش', 'داد#ده', 'توانست#توان', 'خروج', 'نرم\u200cافزار', '،', 'روش', 'مختلف', 'استفاده', 'سیستم', 'آشنا', 'شوم', '.']",عنوان کاربر خواست#خواه راهنمای درون‌برنامه‌ای صورت پویا لحظه نمایش داد#ده توانست#توان خروج نرم‌افزار ، روش مختلف استفاده سیستم آشنا شوم .
33,به عنوان یک کاربر من می‌خواهم بتوانم تغییرات خود را به سادگی لغو یا بازگشت دهم تا بتوانم بدون نگرانی از اشتباهات، فرآیندهای سیستم را آزمایش و یاد بگیرم. ,کاربر,بتوانم تغییرات خود را به سادگی لغو یا بازگشت دهم,بدون نگرانی از اشتباهات، فرآیندهای سیستم را آزمایش و یاد بگیرم.,به عنوان یک کاربر من می‌خواهم بتوانم تغییرات خود را به سادگی لغو یا بازگشت دهم تا بتوانم بدون نگرانی از اشتباهات ، فرآیندهای سیستم را آزمایش و یاد بگیرم .,به عنوان یک کاربر من می‌خواهم بتوانم تغییرات خود را به سادگی لغو یا بازگشت دهم تا بتوانم بدون نگرانی از اشتباهات، فرآیندهای سیستم را آزمایش و یاد بگیرم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'بتوانم', 'تغییرات', 'خود', 'را', 'به', 'سادگی', 'لغو', 'یا', 'بازگشت', 'دهم', 'تا', 'بتوانم', 'بدون', 'نگرانی', 'از', 'اشتباهات', '،', 'فرآیندهای', 'سیستم', 'را', 'آزمایش', 'و', 'یاد', 'بگیرم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'بتوانم', 'تغییرات', 'سادگی', 'لغو', 'بازگشت', 'دهم', 'بتوانم', 'نگرانی', 'اشتباهات', '،', 'فرآیندهای', 'سیستم', 'آزمایش', 'یاد', 'بگیرم', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'توانست#توان', 'تغییرات', 'سادگی', 'لغو', 'بازگشت', 'دهم', 'توانست#توان', 'نگرانی', 'اشتباهات', '،', 'فرآیند', 'سیستم', 'آزمایش', 'یاد', 'گرفت#گیر', '.']",عنوان کاربر خواست#خواه توانست#توان تغییرات سادگی لغو بازگشت دهم توانست#توان نگرانی اشتباهات ، فرآیند سیستم آزمایش یاد گرفت#گیر .
35,به عنوان یک کاربر باتجربه من می‌خواهم ابزارهای مورد نیاز خود را به سرعت از طریق میانبرهای صفحه‌کلید یا منوهای کشویی دسترسی پیدا کنم تا بتوانم وظایف خود را سریع‌تر و با کارایی بیشتر انجام دهم، بدون نیاز به پیمایش طولانی در منوها یا انجام اقدامات اضافی انجام دهم,کاربر باتجربه,ابزارهای مورد نیاز خود را به سرعت از طریق میانبرهای صفحه‌کلید یا منوهای کشویی دسترسی پیدا کنم,وظایف خود را سریع‌تر و با کارایی بیشتر انجام دهم، بدون نیاز به پیمایش طولانی در منوها یا انجام اقدامات اضافی انجام دهم,به عنوان یک کاربر باتجربه من می‌خواهم ابزارهای مورد نیاز خود را به سرعت از طریق میانبرهای صفحه‌کلید یا منوهای کشویی دسترسی پیدا کنم تا بتوانم وظایف خود را سریع‌تر و با کارایی بیشتر انجام دهم ، بدون نیاز به پیمایش طولانی در منوها یا انجام اقدامات اضافی انجام دهم,به عنوان یک کاربر باتجربه من می‌خواهم ابزارهای مورد نیاز خود را به سرعت از طریق میانبرهای صفحه‌کلید یا منوهای کشویی دسترسی پیدا کنم تا بتوانم وظایف خود را سریع‌تر و با کارایی بیشتر انجام دهم، بدون نیاز به پیمایش طولانی در منوها یا انجام اقدامات اضافی انجام دهم,"['به', 'عنوان', 'یک', 'کاربر', 'باتجربه', 'من', 'می\u200cخواهم', 'ابزارهای', 'مورد', 'نیاز', 'خود', 'را', 'به', 'سرعت', 'از', 'طریق', 'میانبرهای', 'صفحه\u200cکلید', 'یا', 'منوهای', 'کشویی', 'دسترسی', 'پیدا', 'کنم', 'تا', 'بتوانم', 'وظایف', 'خود', 'را', 'سریع\u200cتر', 'و', 'با', 'کارایی', 'بیشتر', 'انجام', 'دهم', '،', 'بدون', 'نیاز', 'به', 'پیمایش', 'طولانی', 'در', 'منوها', 'یا', 'انجام', 'اقدامات', 'اضافی', 'انجام', 'دهم']","['عنوان', 'کاربر', 'باتجربه', 'می\u200cخواهم', 'ابزارهای', 'سرعت', 'طریق', 'میانبرهای', 'صفحه\u200cکلید', 'منوهای', 'کشویی', 'دسترسی', 'بتوانم', 'وظایف', 'سریع\u200cتر', 'کارایی', 'انجام', 'دهم', '،', 'پیمایش', 'طولانی', 'منوها', 'انجام', 'اقدامات', 'اضافی', 'انجام', 'دهم']","['عنوان', 'کاربر', 'باتجربه', 'خواست#خواه', 'ابزار', 'سرعت', 'طریق', 'میانبر', 'صفحه\u200cکلید', 'منو', 'کشویی', 'دسترسی', 'توانست#توان', 'وظایف', 'سریع', 'کارایی', 'انجام', 'دهم', '،', 'پیمایش', 'طولانی', 'منو', 'انجام', 'اقدامات', 'اضافی', 'انجام', 'دهم']",عنوان کاربر باتجربه خواست#خواه ابزار سرعت طریق میانبر صفحه‌کلید منو کشویی دسترسی توانست#توان وظایف سریع کارایی انجام دهم ، پیمایش طولانی منو انجام اقدامات اضافی انجام دهم
36,به عنوان یک کاربر  من می‌خواهم فرم‌ها به صورت خودکار با اطلاعات قبلی من پر شوند تا بتوانم زمان کمتری را صرف تکمیل فرم‌ها کنم و فرآیند را سریع‌تر انجام دهم.,کاربر,فرم‌ها به صورت خودکار با اطلاعات قبلی من پر شوند,زمان کمتری را صرف تکمیل فرم‌ها کنم و فرآیند را سریع‌تر انجام دهم.,به عنوان یک کاربر من می‌خواهم فرم‌ها به صورت خودکار با اطلاعات قبلی من پر شوند تا بتوانم زمان کمتری را صرف تکمیل فرم‌ها کنم و فرآیند را سریع‌تر انجام دهم .,به عنوان یک کاربر من می‌خواهم فرم‌ها به صورت خودکار با اطلاعات قبلی من پر شوند تا بتوانم زمان کمتری را صرف تکمیل فرم‌ها کنم و فرآیند را سریع‌تر انجام دهم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'فرم\u200cها', 'به', 'صورت', 'خودکار', 'با', 'اطلاعات', 'قبلی', 'من', 'پر', 'شوند', 'تا', 'بتوانم', 'زمان', 'کمتری', 'را', 'صرف', 'تکمیل', 'فرم\u200cها', 'کنم', 'و', 'فرآیند', 'را', 'سریع\u200cتر', 'انجام', 'دهم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'فرم\u200cها', 'صورت', 'خودکار', 'اطلاعات', 'قبلی', 'بتوانم', 'زمان', 'کمتری', 'تکمیل', 'فرم\u200cها', 'فرآیند', 'سریع\u200cتر', 'انجام', 'دهم', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'فرم', 'صورت', 'خودکار', 'اطلاعات', 'قبلی', 'توانست#توان', 'زمان', 'کمتر', 'تکمیل', 'فرم', 'فرآیند', 'سریع', 'انجام', 'دهم', '.']",عنوان کاربر خواست#خواه فرم صورت خودکار اطلاعات قبلی توانست#توان زمان کمتر تکمیل فرم فرآیند سریع انجام دهم .
37,به عنوان یک کاربر من می‌خواهم قابلیت جستجو در سیستم سریع و دقیق باشد تا بتوانم بدون اتلاف وقت، نتایج جستجوی مرتبط را دریافت کنم.,کاربر,قابلیت جستجو در سیستم سریع و دقیق باشد,بدون اتلاف وقت، نتایج جستجوی مرتبط را دریافت کنم.,به عنوان یک کاربر من می‌خواهم قابلیت جستجو در سیستم سریع و دقیق باشد تا بتوانم بدون اتلاف وقت ، نتایج جستجوی مرتبط را دریافت کنم .,به عنوان یک کاربر من می‌خواهم قابلیت جستجو در سیستم سریع و دقیق باشد تا بتوانم بدون اتلاف وقت، نتایج جستجوی مرتبط را دریافت کنم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'قابلیت', 'جستجو', 'در', 'سیستم', 'سریع', 'و', 'دقیق', 'باشد', 'تا', 'بتوانم', 'بدون', 'اتلاف', 'وقت', '،', 'نتایج', 'جستجوی', 'مرتبط', 'را', 'دریافت', 'کنم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'قابلیت', 'جستجو', 'سیستم', 'سریع', 'دقیق', 'بتوانم', 'اتلاف', 'وقت', '،', 'نتایج', 'جستجوی', 'مرتبط', 'دریافت', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'قابلیت', 'جستجو', 'سیستم', 'سریع', 'دقیق', 'توانست#توان', 'اتلاف', 'وقت', '،', 'نتایج', 'جستجوی', 'مرتبط', 'دریافت', '.']",عنوان کاربر خواست#خواه قابلیت جستجو سیستم سریع دقیق توانست#توان اتلاف وقت ، نتایج جستجوی مرتبط دریافت .
38,به عنوان یک کاربر من می‌خواهم سیستم وضعیت پیشرفت من را به صورت خودکار ذخیره کند تا بتوانم بعداً به راحتی به همان نقطه ادامه کار برگردم و زمان کمتری برای شروع مجدد صرف کنم.,کاربر,سیستم وضعیت پیشرفت من را به صورت خودکار ذخیره کند,بعداً به راحتی به همان نقطه ادامه کار برگردم و زمان کمتری برای شروع مجدد صرف کنم.,به عنوان یک کاربر من می‌خواهم سیستم وضعیت پیشرفت من را به صورت خودکار ذخیره کند تا بتوانم بعداً به راحتی به همان نقطه ادامه کار برگردم و زمان کمتری برای شروع مجدد صرف کنم .,به عنوان یک کاربر من می‌خواهم سیستم وضعیت پیشرفت من را به صورت خودکار ذخیره کند تا بتوانم بعدا به راحتی به همان نقطه ادامه کار برگردم و زمان کمتری برای شروع مجدد صرف کنم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'سیستم', 'وضعیت', 'پیشرفت', 'من', 'را', 'به', 'صورت', 'خودکار', 'ذخیره', 'کند', 'تا', 'بتوانم', 'بعدا', 'به', 'راحتی', 'به', 'همان', 'نقطه', 'ادامه', 'کار', 'برگردم', 'و', 'زمان', 'کمتری', 'برای', 'شروع', 'مجدد', 'صرف', 'کنم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'سیستم', 'وضعیت', 'پیشرفت', 'صورت', 'خودکار', 'ذخیره', 'بتوانم', 'بعدا', 'راحتی', 'نقطه', 'ادامه', 'کار', 'برگردم', 'زمان', 'کمتری', 'مجدد', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'سیستم', 'وضعیت', 'پیشرفت', 'صورت', 'خودکار', 'ذخیره', 'توانست#توان', 'بعدا', 'راحتی', 'نقطه', 'ادامه', 'کار', 'برگردم', 'زمان', 'کمتر', 'مجدد', '.']",عنوان کاربر خواست#خواه سیستم وضعیت پیشرفت صورت خودکار ذخیره توانست#توان بعدا راحتی نقطه ادامه کار برگردم زمان کمتر مجدد .
39,به عنوان یک کاربر باتجربه من می‌خواهم برای انجام عملیات‌های مختلف از میانبرهای صفحه‌کلید استفاده کنم تا بتوانم با سرعت بیشتری کارهایم را انجام دهم و زمان کمتری صرف انجام وظایف کنم. ,کاربر باتجربه,برای انجام عملیات‌های مختلف از میانبرهای صفحه‌کلید استفاده کنم,با سرعت بیشتری کارهایم را انجام دهم و زمان کمتری صرف انجام وظایف کنم.,به عنوان یک کاربر باتجربه من می‌خواهم برای انجام عملیات‌های مختلف از میانبرهای صفحه‌کلید استفاده کنم تا بتوانم با سرعت بیشتری کارهایم را انجام دهم و زمان کمتری صرف انجام وظایف کنم .,به عنوان یک کاربر باتجربه من می‌خواهم برای انجام عملیات‌های مختلف از میانبرهای صفحه‌کلید استفاده کنم تا بتوانم با سرعت بیشتری کارهایم را انجام دهم و زمان کمتری صرف انجام وظایف کنم.,"['به', 'عنوان', 'یک', 'کاربر', 'باتجربه', 'من', 'می\u200cخواهم', 'برای', 'انجام', 'عملیات\u200cهای', 'مختلف', 'از', 'میانبرهای', 'صفحه\u200cکلید', 'استفاده', 'کنم', 'تا', 'بتوانم', 'با', 'سرعت', 'بیشتری', 'کارهایم', 'را', 'انجام', 'دهم', 'و', 'زمان', 'کمتری', 'صرف', 'انجام', 'وظایف', 'کنم', '.']","['عنوان', 'کاربر', 'باتجربه', 'می\u200cخواهم', 'انجام', 'عملیات\u200cهای', 'مختلف', 'میانبرهای', 'صفحه\u200cکلید', 'استفاده', 'بتوانم', 'سرعت', 'کارهایم', 'انجام', 'دهم', 'زمان', 'کمتری', 'انجام', 'وظایف', '.']","['عنوان', 'کاربر', 'باتجربه', 'خواست#خواه', 'انجام', 'عملیات', 'مختلف', 'میانبر', 'صفحه\u200cکلید', 'استفاده', 'توانست#توان', 'سرعت', 'کار', 'انجام', 'دهم', 'زمان', 'کمتر', 'انجام', 'وظایف', '.']",عنوان کاربر باتجربه خواست#خواه انجام عملیات مختلف میانبر صفحه‌کلید استفاده توانست#توان سرعت کار انجام دهم زمان کمتر انجام وظایف .
40,به عنوان یک کاربر من می‌خواهم بتوانم چندین عملیات را به صورت همزمان انجام دهم تا بتوانم زمان خود را برای انجام کارهای مختلف به طور همزمان مدیریت کنم و کارایی بیشتری داشته باشم. ,کاربر,بتوانم چندین عملیات را به صورت همزمان انجام دهم,زمان خود را برای انجام کارهای مختلف به طور همزمان مدیریت کنم و کارایی بیشتری داشته باشم.,به عنوان یک کاربر من می‌خواهم بتوانم چندین عملیات را به صورت همزمان انجام دهم تا بتوانم زمان خود را برای انجام کارهای مختلف به طور همزمان مدیریت کنم و کارایی بیشتری داشته_باشم .,به عنوان یک کاربر من می‌خواهم بتوانم چندین عملیات را به صورت همزمان انجام دهم تا بتوانم زمان خود را برای انجام کارهای مختلف به طور همزمان مدیریت کنم و کارایی بیشتری داشته_باشم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'بتوانم', 'چندین', 'عملیات', 'را', 'به', 'صورت', 'همزمان', 'انجام', 'دهم', 'تا', 'بتوانم', 'زمان', 'خود', 'را', 'برای', 'انجام', 'کارهای', 'مختلف', 'به', 'طور', 'همزمان', 'مدیریت', 'کنم', 'و', 'کارایی', 'بیشتری', 'داشته_باشم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'بتوانم', 'چندین', 'عملیات', 'صورت', 'همزمان', 'انجام', 'دهم', 'بتوانم', 'زمان', 'انجام', 'کارهای', 'مختلف', 'همزمان', 'مدیریت', 'کارایی', 'داشته_باشم', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'توانست#توان', 'چندین', 'عملیات', 'صورت', 'همزمان', 'انجام', 'دهم', 'توانست#توان', 'زمان', 'انجام', 'کارهای', 'مختلف', 'همزمان', 'مدیریت', 'کارایی', 'داشت#دار', '.']",عنوان کاربر خواست#خواه توانست#توان چندین عملیات صورت همزمان انجام دهم توانست#توان زمان انجام کارهای مختلف همزمان مدیریت کارایی داشت#دار .
41,به عنوان یک کاربر من می‌خواهم فیلترهای سریع و قابل تنظیم برای جستجوی داده‌ها داشته باشم تا بتوانم به سرعت اطلاعات مورد نیاز خود را پیدا کنم و از زمان بیشتری برای تجزیه و تحلیل داده‌ها بهره‌برداری کنم. ,کاربر,فیلترهای سریع و قابل تنظیم برای جستجوی داده‌ها داشته باشم,به سرعت اطلاعات مورد نیاز خود را پیدا کنم و از زمان بیشتری برای تجزیه و تحلیل داده‌ها بهره‌برداری کنم.,به عنوان یک کاربر من می‌خواهم فیلترهای سریع و قابل تنظیم برای جستجوی داده‌ها داشته_باشم تا بتوانم به سرعت اطلاعات مورد نیاز خود را پیدا کنم و از زمان بیشتری برای تجزیه و تحلیل داده‌ها بهره‌برداری کنم .,به عنوان یک کاربر من می‌خواهم فیلترهای سریع و قابل تنظیم برای جستجوی داده‌ها داشته_باشم تا بتوانم به سرعت اطلاعات مورد نیاز خود را پیدا کنم و از زمان بیشتری برای تجزیه و تحلیل داده‌ها بهره‌برداری کنم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'فیلترهای', 'سریع', 'و', 'قابل', 'تنظیم', 'برای', 'جستجوی', 'داده\u200cها', 'داشته_باشم', 'تا', 'بتوانم', 'به', 'سرعت', 'اطلاعات', 'مورد', 'نیاز', 'خود', 'را', 'پیدا', 'کنم', 'و', 'از', 'زمان', 'بیشتری', 'برای', 'تجزیه', 'و', 'تحلیل', 'داده\u200cها', 'بهره\u200cبرداری', 'کنم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'فیلترهای', 'سریع', 'تنظیم', 'جستجوی', 'داده\u200cها', 'داشته_باشم', 'بتوانم', 'سرعت', 'اطلاعات', 'زمان', 'تجزیه', 'تحلیل', 'داده\u200cها', 'بهره\u200cبرداری', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'فیلتر', 'سریع', 'تنظیم', 'جستجوی', 'داده', 'داشت#دار', 'توانست#توان', 'سرعت', 'اطلاعات', 'زمان', 'تجزیه', 'تحلیل', 'داده', 'بهره\u200cبرداری', '.']",عنوان کاربر خواست#خواه فیلتر سریع تنظیم جستجوی داده داشت#دار توانست#توان سرعت اطلاعات زمان تجزیه تحلیل داده بهره‌برداری .
42,به عنوان یک کاربر من می‌خواهم داده‌ها به صورت خودکار دسته‌بندی و مرتب‌سازی شوند تا بتوانم بدون نیاز به تلاش زیاد، به سرعت به داده‌های مورد نظر خود دسترسی پیدا کنم. ,کاربر,داده‌ها به صورت خودکار دسته‌بندی و مرتب‌سازی شوند,بدون نیاز به تلاش زیاد، به سرعت به داده‌های مورد نظر خود دسترسی پیدا کنم.,به عنوان یک کاربر من می‌خواهم داده‌ها به صورت خودکار دسته‌بندی و مرتب‌سازی شوند تا بتوانم بدون نیاز به تلاش زیاد ، به سرعت به داده‌های مورد نظر خود دسترسی پیدا کنم .,به عنوان یک کاربر من می‌خواهم داده‌ها به صورت خودکار دسته‌بندی و مرتب‌سازی شوند تا بتوانم بدون نیاز به تلاش زیاد، به سرعت به داده‌های مورد نظر خود دسترسی پیدا کنم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'داده\u200cها', 'به', 'صورت', 'خودکار', 'دسته\u200cبندی', 'و', 'مرتب\u200cسازی', 'شوند', 'تا', 'بتوانم', 'بدون', 'نیاز', 'به', 'تلاش', 'زیاد', '،', 'به', 'سرعت', 'به', 'داده\u200cهای', 'مورد', 'نظر', 'خود', 'دسترسی', 'پیدا', 'کنم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'داده\u200cها', 'صورت', 'خودکار', 'دسته\u200cبندی', 'مرتب\u200cسازی', 'بتوانم', 'تلاش', '،', 'سرعت', 'داده\u200cهای', 'دسترسی', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'داده', 'صورت', 'خودکار', 'دسته\u200cبندی', 'مرتب\u200cسازی', 'توانست#توان', 'تلاش', '،', 'سرعت', 'داده', 'دسترسی', '.']",عنوان کاربر خواست#خواه داده صورت خودکار دسته‌بندی مرتب‌سازی توانست#توان تلاش ، سرعت داده دسترسی .
43,به عنوان یک کاربر من می‌خواهم گزینه‌های پیش‌فرض برای وظایف رایج به صورت هوشمندانه انتخاب شوند تا بتوانم بدون نیاز به تنظیمات اضافی، کارها را به سرعت انجام دهم. ,کاربر,گزینه‌های پیش‌فرض برای وظایف رایج به صورت هوشمندانه انتخاب شوند,بدون نیاز به تنظیمات اضافی، کارها را به سرعت انجام دهم.,به عنوان یک کاربر من می‌خواهم گزینه‌های پیش‌فرض برای وظایف رایج به صورت هوشمندانه انتخاب شوند تا بتوانم بدون نیاز به تنظیمات اضافی ، کارها را به سرعت انجام دهم .,به عنوان یک کاربر من می‌خواهم گزینه‌های پیش‌فرض برای وظایف رایج به صورت هوشمندانه انتخاب شوند تا بتوانم بدون نیاز به تنظیمات اضافی، کارها را به سرعت انجام دهم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'گزینه\u200cهای', 'پیش\u200cفرض', 'برای', 'وظایف', 'رایج', 'به', 'صورت', 'هوشمندانه', 'انتخاب', 'شوند', 'تا', 'بتوانم', 'بدون', 'نیاز', 'به', 'تنظیمات', 'اضافی', '،', 'کارها', 'را', 'به', 'سرعت', 'انجام', 'دهم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'گزینه\u200cهای', 'پیش\u200cفرض', 'وظایف', 'رایج', 'صورت', 'هوشمندانه', 'انتخاب', 'بتوانم', 'تنظیمات', 'اضافی', '،', 'کارها', 'سرعت', 'انجام', 'دهم', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'گزینه', 'پیش\u200cفرض', 'وظایف', 'رایج', 'صورت', 'هوشمندانه', 'انتخاب', 'توانست#توان', 'تنظیمات', 'اضافی', '،', 'کارها', 'سرعت', 'انجام', 'دهم', '.']",عنوان کاربر خواست#خواه گزینه پیش‌فرض وظایف رایج صورت هوشمندانه انتخاب توانست#توان تنظیمات اضافی ، کارها سرعت انجام دهم .
